Country Name,Country Code,Time,Time Code,Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION]
China,CHN,1997,YR1997,198922,9145436
China,CHN,1998,YR1998,210864,9096997
China,CHN,1999,YR1999,206838,9062787
China,CHN,2000,YR2000,225588,8974867
China,CHN,2001,YR2001,280766,8804476
China,CHN,2002,YR2002,291441,8745279
China,CHN,2003,YR2003,287321,8502294
China,CHN,2004,YR2004,357480,8397454
China,CHN,2005,YR2005,404451,8334659
China,CHN,2006,YR2006,446882,8406294
China,CHN,2007,YR2007,500911,8108961
China,CHN,2008,YR2008,614990,7986006
China,CHN,2009,YR2009,663651,7920214
China,CHN,2010,YR2010,781638,7871450
China,CHN,2011,YR2011,788618,7655961
China,CHN,2012,YR2012,995264,8069989
China,CHN,2013,YR2013,1103418,8275653
China,CHN,2014,YR2014,1280977,8744472
China,CHN,2015,YR2015,1398321,9084482
China,CHN,2016,YR2016,..,..
USA,USA,1997,YR1997,403130,2432528
USA,USA,1998,YR1998,365559,2447760
USA,USA,1999,YR1999,351308,3186229
USA,USA,2000,YR2000,330364,3167129
USA,USA,2001,YR2001,260426,2677065
USA,USA,2002,YR2002,348137,2770880
USA,USA,2003,YR2003,360433,3092945
USA,USA,2004,YR2004,357987,3223103
USA,USA,2005,YR2005,366205,3439771
USA,USA,2006,YR2006,395209,3755239
USA,USA,2007,YR2007,361815,3755210
USA,USA,2008,YR2008,391022,3989400
USA,USA,2009,YR2009,428696,4070025
USA,USA,2010,YR2010,440677,4327122
USA,USA,2011,YR2011,528962,4663837
USA,USA,2012,YR2012,512822,4802944
USA,USA,2013,YR2013,541802,5052304
USA,USA,2014,YR2014,559496,5175231
USA,USA,2015,YR2015,568439,5097931
USA,USA,2016,YR2016,..,..
Brazil,BRA,1997,YR1997,286355,2405843
Brazil,BRA,1998,YR1998,298979,2491751
Brazil,BRA,1999,YR1999,301368,2559594
Brazil,BRA,2000,YR2000,312249,2504059
Brazil,BRA,2001,YR2001,276891,2428426
Brazil,BRA,2002,YR2002,296372,2623885
Brazil,BRA,2003,YR2003,317571,2806094
Brazil,BRA,2004,YR2004,333334,2971462
Brazil,BRA,2005,YR2005,351141,3086133
Brazil,BRA,2006,YR2006,363765,3215481
Brazil,BRA,2007,YR2007,392685,3454741
Brazil,BRA,2008,YR2008,390210,3579069
Brazil,BRA,2009,YR2009,414828,3637590
Brazil,BRA,2010,YR2010,436961,3819419
Brazil,BRA,2011,YR2011,463272,3838202
Brazil,BRA,2012,YR2012,455629,3798796
Brazil,BRA,2013,YR2013,437969,3772010
Brazil,BRA,2014,YR2014,431660,3788991
Brazil,BRA,2015,YR2015,430230,3887176
Brazil,BRA,2016,YR2016,..,..
India,IND,1997,YR1997,75700,6027971
India,IND,1998,YR1998,84132,6104928
India,IND,1999,YR1999,83274,6172063
India,IND,2000,YR2000,77426,6231016
India,IND,2001,YR2001,77680,6298836
India,IND,2002,YR2002,73597,6363576
India,IND,2003,YR2003,87664,6468599
India,IND,2004,YR2004,99059,6600165
India,IND,2005,YR2005,118935,6752224
India,IND,2006,YR2006,135725,6904236
India,IND,2007,YR2007,147122,7041745
India,IND,2008,YR2008,140062,7130872
India,IND,2009,YR2009,143650,7236991
India,IND,2010,YR2010,157135,7376893
India,IND,2011,YR2011,186077,7553407
India,IND,2012,YR2012,176689,7628053
India,IND,2013,YR2013,206622,7791782
India,IND,2014,YR2014,210273,7903163
India,IND,2015,YR2015,212195,8011645
India,IND,2016,YR2016,..,..
Germany,DEU,1997,YR1997,23062,253959.5
Germany,DEU,1998,YR1998,24902,271827.8
Germany,DEU,1999,YR1999,28717,285706.9
Germany,DEU,2000,YR2000,35475,319660.1
Germany,DEU,2001,YR2001,37895,343660.7
Germany,DEU,2002,YR2002,44477,382631
Germany,DEU,2003,YR2003,45590,447123.8
Germany,DEU,2004,YR2004,56634,510485.3
Germany,DEU,2005,YR2005,62505,583527.7
Germany,DEU,2006,YR2006,71638,683859.3
Germany,DEU,2007,YR2007,88320,775851.8
Germany,DEU,2008,YR2008,93249,734775.9
Germany,DEU,2009,YR2009,94858,781838.3
Germany,DEU,2010,YR2010,104809,889170.7
Germany,DEU,2011,YR2011,123773,935657
Germany,DEU,2012,YR2012,143458,997310
Germany,DEU,2013,YR2013,152366,1030489
Germany,DEU,2014,YR2014,162513,1087820
Germany,DEU,2015,YR2015,187366,1183042
Germany,DEU,2016,YR2016,..,..
France,FRA,1997,YR1997,66452,588068.6
France,FRA,1998,YR1998,64767,586657.4
France,FRA,1999,YR1999,75406,593721.4
France,FRA,2000,YR2000,69402,567220.2
France,FRA,2001,YR2001,77738,597108.2
France,FRA,2002,YR2002,64206,539610.1
France,FRA,2003,YR2003,63057,561490.7
France,FRA,2004,YR2004,63940,570263.8
France,FRA,2005,YR2005,56325,548808.1
France,FRA,2006,YR2006,62339,530365.3
France,FRA,2007,YR2007,65909,571542.2
France,FRA,2008,YR2008,73826,649586.9
France,FRA,2009,YR2009,69661,669329.4
France,FRA,2010,YR2010,78195,731191.6
France,FRA,2011,YR2011,64399,617406.4
France,FRA,2012,YR2012,83036,725254.3
France,FRA,2013,YR2013,96672,808277.4
France,FRA,2014,YR2014,91807,736346.1
France,FRA,2015,YR2015,89357,760300.4
France,FRA,2016,YR2016,..,..
Spain,ESP,1997,YR1997,36971,249598.7
Spain,ESP,1998,YR1998,36887,256963.3
Spain,ESP,1999,YR1999,27308,229042.9
Spain,ESP,2000,YR2000,34494,251199.9
Spain,ESP,2001,YR2001,49302,299027.9
Spain,ESP,2002,YR2002,33182,252761.4
Spain,ESP,2003,YR2003,55783,323092.4
Spain,ESP,2004,YR2004,50170,304944.9
Spain,ESP,2005,YR2005,42263,286009.7
Spain,ESP,2006,YR2006,52149,324023.2
Spain,ESP,2007,YR2007,58283,353515.9
Spain,ESP,2008,YR2008,62143,368151.7
Spain,ESP,2009,YR2009,74080,428621.4
Spain,ESP,2010,YR2010,97776,513546.1
Spain,ESP,2011,YR2011,87523,506659.2
Spain,ESP,2012,YR2012,86962,519522.5
Spain,ESP,2013,YR2013,111406,539846.5
Spain,ESP,2014,YR2014,110269,541486.8
Spain,ESP,2015,YR2015,97088,513540.8
Spain,ESP,2016,YR2016,..,..
